#sec,nsec,vx [m/s],vy [m/s],vz [m/s],wx [rad/s],wy [rad/s],wz [rad/s]
1648045178,001873384,0.001768408292756284,-0.0041991466885861976,-0.0008118255903234914,0.011229071808028852,-0.0031919681469300145,-0.013047673441570413
1648045178,004351586,0.0016640367927169223,-0.004069777370848854,-0.0005137255511668114,0.01182028685969956,-0.0025799413610522494,-0.006244223399662146
1648045178,006867774,0.0015028362269257625,-0.003868500117610376,4.690195389264898e-06,0.013409779416756744,-0.0009628151367815463,0.0002985612378769726
1648045178,009352047,0.0013278613822596112,-0.003920532923152481,0.0005863849686527256,0.01481878833818369,0.0010382903015087423,0.007653340207288472
1648045178,011859482,0.0011736142669599408,-0.004229111958705193,0.001046297243617676,0.015255049437167495,0.002716673329613374,0.015534368452371876
1648045178,014372614,0.0010469441313634034,-0.00424266779104783,0.0012871507339375363,0.015889238110074064,0.0035905984819891807,0.022133535809446696
1648045178,016932655,0.0009065366635935745,-0.004075273781194577,0.0016095491700577288,0.016453089764613446,0.004590595955252542,0.02796652793710966
1648045178,019375750,0.0007460327876794233,-0.003948870822071598,0.002100962839794256,0.01642280587753876,0.006097603883805024,0.03388300277236337
1648045178,021875140,0.0006028546560872034,-0.004081069051794163,0.0023767744325147943,0.016675025555910283,0.007024791952409213,0.039748319308589096
1648045178,024376818,0.00040774305308218515,-0.004272087493518616,0.0026696514502469438,0.01787277858862812,0.00813009051452018,0.046047599806089176
1648045178,026902871,0.00023484637708011755,-0.004434759276921104,0.0029697236010102664,0.01768517735694616,0.009113319343805186,0.051921759210101434
1648045178,029387494,0.0001778688366211973,-0.004672176520724219,0.0029904715825100807,0.012508169989137629,0.009187030345226544,0.056686801433957185
1648045178,031859767,0.00018707726548005695,-0.0048975411234175046,0.0028999029323696695,0.007226918452992026,0.008887169833168373,0.0600440348964333
1648045178,034392587,0.00021001739427582236,-0.004852188506973754,0.002861697685889351,0.006455501813269311,0.008559068800955326,0.06218433840015872
1648045178,036940204,0.0001867430393389179,-0.00485796762596847,0.0033358383206508516,0.006796490205017581,0.01012452548068192,0.0641767433045368
1648045178,039377509,0.00014000663430965588,-0.004837955387058546,0.003988565988319232,0.00723941868048163,0.012516463046326495,0.06526491060767989
1648045178,041847772,0.0001538341958262689,-0.004953172145464653,0.004273192206398922,0.009579614242611958,0.013467001838245469,0.06588791771475905
1648045178,044352647,0.0002174292232012654,-0.004932939890761252,0.004301769020864297,0.013854937412043012,0.01355182431781901,0.06588048272642726
1648045178,046842283,0.00032984037286173175,-0.004747284630796923,0.003955408785789946,0.01684937163580778,0.012700521215679097,0.06475455678857656
1648045178,049368422,0.00036535721245712055,-0.00491852049154127,0.003874432587546759,0.013598356812212662,0.012532812320890674,0.06321530778760373
1648045178,051841018,0.0003898250211017652,-0.005054543359178941,0.0036734531568293947,0.010843555315957558,0.011671120604975722,0.060759630798854096
1648045178,054350208,0.0004949926569142596,-0.005029425669288831,0.0032269378618005728,0.014188844099527299,0.009820688490273519,0.05762025875434612
1648045178,056942577,0.0005542808249250109,-0.004833204335656022,0.0032595631772216367,0.017888440896283612,0.00962728075935841,0.05313489219965983
1648045178,059377749,0.0005576106869167086,-0.004718553951655893,0.0034731341480158896,0.019666617726156584,0.010268165271041043,0.047811050293343184
1648045178,061914551,0.0005966389141714706,-0.004791644967017717,0.0034457008099569126,0.02072199200789341,0.009965581903759697,0.04286948674842517
1648045178,064360894,0.0006840730115272373,-0.004891365707800037,0.003136545344932986,0.02174829594135681,0.008874322263534549,0.03691463697955961
1648045178,066840141,0.0007687708505105037,-0.004807607040546156,0.002660165142993885,0.021448171575391438,0.007554490598142926,0.03012973372249881
1648045178,069346093,0.00087927012047232,-0.00502894868805337,0.0022594633700163146,0.018223573472751085,0.006231465440342849,0.023770141789198247
1648045178,071881836,0.0009520954806535022,-0.0052167845530071,0.002172885990581069,0.016203349523282156,0.005938609855744405,0.017623077641079295
1648045178,074349616,0.001027790303296204,-0.005477386035930845,0.002072906739576714,0.01560450847480415,0.0058640600505149056,0.011564599308046236
1648045178,076945705,0.001133891927025281,-0.005457796009294427,0.0018022376592659786,0.01290623627136643,0.005218807800542225,0.00427728968392161
1648045178,079368029,0.0012429001875529412,-0.005644073447965603,0.0014216839966800282,0.009601378364732873,0.0042943220937419575,-0.002524273938456733
1648045178,081873364,0.0013332285965372112,-0.005502090415236034,0.0008709123325516941,0.0060032618207065255,0.002620471124238739,-0.010052752687817725
1648045178,084397660,0.001398029731291322,-0.005607961463238357,0.0005068367969328807,0.0031580767206579002,0.0014258710187763234,-0.016963978333051306
1648045178,086837787,0.0014412994892244128,-0.0056935832846624025,0.00033003018298388855,0.0010594700429876081,0.0007579622050697272,-0.023494404964992912
1648045178,089347283,0.0014572201307865918,-0.0056375310233152485,9.868553889920011e-05,0.001061608697674689,0.0004174771849202803,-0.03001207439657916
1648045178,091866662,0.0014161094930802477,-0.005381988984399956,-8.195639064277797e-05,0.0019257951756411359,0.0005538049261525405,-0.036385938138148374
1648045178,094375441,0.0014109833750106334,-0.005209352200261121,-0.0003716924125719581,0.0012399733638119026,0.0002426877582690927,-0.041943556889176226
1648045178,096940215,0.001470993692085115,-0.005222240263348142,-0.0008098394885969337,-0.0006528090722404101,-0.0004951999978595379,-0.04650140894172867
1648045178,099368546,0.0015909165738506963,-0.005156766317086956,-0.0014745591359317802,-0.0031010292470438207,-0.0021336739824652936,-0.0509983308030553
1648045178,101873360,0.0017101892892308903,-0.004832025602645301,-0.0021429602480504363,-0.004445722956559349,-0.0039636766993968505,-0.055141694661348356
