#sec,nsec,vx [m/s],vy [m/s],vz [m/s],wx [rad/s],wy [rad/s],wz [rad/s]
1648045178,000399182,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,002785228,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,005286592,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,007764937,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,010217019,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,012756268,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,018914525,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,019663468,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,020363104,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,022771573,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,025275943,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,027791783,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,030253095,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,032756811,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,038910456,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,039697287,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,040459266,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,042717758,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,045298654,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,047732073,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,050278357,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,052721464,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,058872437,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,059612918,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,060304062,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,062824237,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,065318641,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,067749225,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,070212347,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,072802455,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,078795506,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,079532139,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,080277954,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,082766079,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,085328819,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,087742562,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,090299070,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,092746704,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,098821405,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,099551839,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,100240950,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,102718312,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,105299941,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,107771082,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,110244022,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,112790379,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,119088162,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,119883526,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,120566119,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,122767816,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,125244719,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,127788174,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,130232144,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,132701716,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,139036890,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,139816341,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,140508212,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,142869379,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,145372968,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,147799564,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,150287097,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,152744482,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,158863562,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,159603049,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,160290321,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,162732534,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,165288060,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,167778715,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,170297813,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,172748749,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,178882820,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,179623333,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,180316883,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,182760964,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,185232731,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,187718543,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,190320512,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,192767767,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,198860430,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,199603141,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,200305334,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,202682309,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,205309659,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,207785981,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,210257031,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,212755254,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,218905019,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,219645705,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,220336624,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,222787114,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,225369193,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,227773041,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,230249734,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,232716870,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,238986434,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,239713524,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,240403721,0.0,0.0,0.0,0.0,0.0,0.0
1648045178,242761495,0.0,0.0,0.0,0.0,0.0,0.0
